Test_No ;Numune_1_ Relakse_Sonrasi_ En_1;Numune_1_ Relakse_Sonrasi_ En_2;Numune_1_ Relakse_Sonrasi_ En_3;Numune_1_Relakse_Sonrasi_Boy_1;Numune_1_Relakse_Sonrasi_Boy_2;Numune_1_Relakse_Sonrasi_Boy_3;Giris_Alan_Ortalama;Deterjan_Miktarı(gr);Test_Kapasitesi(kg);Su_Sertligi ;Tambur_Hacmi_(lt);SY1_Sure_(sn);SY1_Devir_(rpm);SY1_ED;SG_Sic_(C);I_Bas_Sic (C);I_Sure_(sn);I_Devir_(rpm);I_MHY_ED;I_Tset_(C);AY_Su_Mik_(lt);AY_Sure_(sn);AY_Devir_(rpm);AY_MHY_ED;AY_Tah_(C);Jet_Pompa;Durulama_Sayisi;1D_Su_Mik_(lt);1D_Sure_(sn);1D_Devir_(rpm);1D_MHY_ED;2D_Su_Mik_(lt);2D_Sure_(sn);2D_Devir_(rpm);2D_MHY_ED;2D_Sikma_(rpm);3D_Su_Mik_(lt);3D_Sure_(sn);3D_Devir_(rpm);3D_MHY_ED;Cikis_Alan_Ortalama
1.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.000;30.000;0.036;15.500;17.790;300.000;30.000;0.036;28.790;12.720;1500.000;30.000;0.036;25.790;1.000;3.000;11.640;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.650;300.000;30.000;0.036;71679.500
2.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.000;30.000;0.036;15.700;18.200;300.000;30.000;0.036;28.640;12.670;1490.000;30.000;0.036;26.080;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.670;300.000;30.000;0.036;69506.667
3.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;176.900;30.000;0.036;15.790;18.200;300.000;30.000;0.036;28.490;12.710;1485.000;30.000;0.036;26.120;1.000;3.000;11.620;300.000;30.000;0.036;11.620;300.000;30.000;3.610;0.000;13.630;300.000;30.000;0.036;67925.333
4.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.620;18.110;300.000;30.000;0.036;28.610;12.720;1492.000;30.000;0.036;25.990;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.660;238.700;30.000;0.036;66555.000
5.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.620;18.110;300.000;30.000;0.036;28.610;12.720;1492.000;30.000;0.036;25.990;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.660;235.500;30.000;0.036;64629.000
6.00;273.000;273.000;273.000;268.500;268.000;268.500;73255.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.500;17.630;300.000;30.000;0.036;28.740;12.740;1485.000;30.000;0.036;25.530;1.000;3.000;11.620;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.640;237.100;30.000;0.036;63209.125
1.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.850;18.040;300.000;30.000;0.029;31.020;12.610;1907.000;30.000;0.029;26.150;1.000;3.000;11.590;180.000;30.000;0.018;11.620;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;72815.500
2.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.770;18.070;300.000;30.000;0.029;30.080;12.630;1904.000;30.000;0.029;26.200;1.000;3.000;11.610;180.000;30.000;0.018;11.610;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;71157.167
3.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.950;18.620;300.000;30.000;0.029;31.660;12.590;1905.000;30.000;0.029;26.740;1.000;3.000;11.610;180.000;30.000;0.018;11.600;180.000;30.000;1.810;0.000;13.670;180.000;30.000;0.018;70378.417
4.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;16.070;18.230;300.000;30.000;0.029;31.000;12.660;1902.000;30.000;0.029;26.120;1.000;3.000;11.620;180.000;30.000;0.018;11.610;180.000;30.000;1.810;0.000;13.670;180.000;30.000;0.018;68967.083
5.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.530;18.120;300.000;30.000;0.029;31.810;12.630;1918.000;30.000;0.029;26.000;1.000;3.000;11.620;180.000;30.000;0.018;11.600;180.000;30.000;1.810;0.000;13.680;180.000;30.000;0.018;67641.250
6.00;275.000;275.000;275.000;268.000;268.000;268.000;73700.000;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.630;18.120;300.000;30.000;0.029;30.940;12.670;1906.000;30.000;0.029;26.250;1.000;3.000;11.620;180.000;30.000;0.018;11.620;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;66683.875
1.00;272.000;271.000;271.000;268.000;268.000;269.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.630;17.330;478.000;0.000;0.000;34.660;12.620;1603.000;30.000;0.012;28.620;1.000;3.000;11.690;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.580;240.000;30.000;0.036;71373.333
2.00;272.000;271.000;271.000;268.000;268.000;269.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.820;17.470;473.000;0.000;0.000;35.890;12.660;1601.000;30.000;0.012;29.370;1.000;3.000;11.540;300.000;30.000;0.036;11.580;300.000;30.000;3.610;0.000;13.690;240.600;30.000;0.036;70679.750
3.00;272.000;271.000;271.000;268.000;268.000;269.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.036;16.200;17.510;473.000;0.000;0.000;36.300;12.720;1607.000;30.000;0.012;29.130;1.000;3.000;11.590;300.000;30.000;0.036;11.650;300.000;30.000;3.610;0.000;13.650;237.200;30.000;0.036;70145.625
4.00;272.000;271.000;271.000;268.000;268.000;269.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.270;17.690;473.000;0.000;0.000;35.710;12.790;1600.000;30.000;0.012;29.270;1.000;3.000;11.610;300.000;30.000;0.036;11.610;300.000;30.000;3.610;0.000;13.620;239.500;30.000;0.036;68980.333
5.00;272.000;271.000;271.000;268.000;268.000;269.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.430;17.520;463.000;0.000;0.000;35.570;12.710;1597.000;30.000;0.012;29.200;1.000;3.000;11.590;300.000;30.000;0.036;11.590;300.000;30.000;3.610;0.000;13.630;320.000;30.000;0.036;68764.500
6.00;272.000;271.000;271.000;268.000;268.000;269.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.210;17.020;465.000;0.000;0.000;34.840;12.730;1605.000;30.000;0.012;28.910;1.000;3.000;11.600;300.000;30.000;0.036;11.620;300.000;30.000;3.610;0.000;13.620;237.900;30.000;0.036;67848.000
1.00;271.000;271.000;271.000;268.000;268.000;268.000;72628.000;57.700;2.000;5.000;65.700;296.000;30.000;0.036;15.540;19.550;800.000;30.000;3.610;42.480;14.440;856.000;30.000;0.036;37.780;1.000;3.000;11.540;366.000;30.000;0.036;12.060;300.000;30.000;3.610;617.000;14.580;352.000;30.000;0.036;71013.250
2.00;271.000;271.000;271.000;268.000;268.000;268.000;72628.000;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.640;19.200;806.000;30.000;3.610;42.600;13.930;868.000;30.000;0.036;36.150;1.000;3.000;11.770;365.000;30.000;0.036;12.030;300.000;30.000;3.610;616.000;14.470;316.000;30.000;0.036;69019.500
3.00;271.000;271.000;271.000;268.000;268.000;268.000;72628.000;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.730;19.570;730.000;30.000;3.610;41.510;13.870;931.000;30.000;0.036;35.440;1.000;3.000;11.420;365.000;30.000;0.036;11.980;299.000;30.000;3.610;620.000;14.790;240.000;30.000;0.036;66070.833
4.00;271.000;271.000;271.000;268.000;268.000;268.000;72628.000;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.420;19.420;808.000;30.000;3.610;42.620;14.140;852.000;30.000;0.036;36.970;1.000;3.000;11.560;364.000;30.000;0.036;12.050;299.000;30.000;3.610;617.000;14.590;258.000;30.000;0.036;64916.667
5.00;271.000;271.000;271.000;268.000;268.000;268.000;72628.000;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.650;19.360;810.000;30.000;3.610;42.060;14.220;859.000;30.000;0.036;36.910;1.000;3.000;11.420;365.000;30.000;0.036;12.070;300.000;30.000;3.610;616.000;14.580;256.000;30.000;0.036;62137.083
6.00;271.000;271.000;271.000;268.000;268.000;268.000;72628.000;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.400;20.280;742.000;30.000;3.610;41.770;14.230;920.000;30.000;0.036;36.310;1.000;3.000;11.420;365.000;30.000;0.036;11.960;300.000;30.000;3.610;616.000;14.420;300.000;30.000;0.036;61506.250
1.00;272.500;271.500;271.500;269.500;269.000;269.000;73168.472;57.700;2.000;5.000;65.700;300.000;30.000;0.036;14.980;17.280;783.000;30.000;3.610;41.900;12.740;877.000;30.000;0.036;36.570;1.000;3.000;11.730;363.000;30.000;0.036;11.770;300.000;30.000;3.610;0.000;13.920;242.000;30.000;0.036;71903.333
2.00;272.500;271.500;271.500;269.500;269.000;269.000;73168.472;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.090;17.550;736.000;30.000;3.610;41.710;12.680;926.000;30.000;0.036;36.110;1.000;3.000;11.740;365.000;30.000;0.036;11.740;300.000;30.000;3.610;0.000;13.910;225.000;30.000;0.036;70700.000
3.00;272.500;271.500;271.500;269.500;269.000;269.000;73168.472;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.240;18.100;716.000;30.000;3.610;41.910;12.700;947.000;30.000;0.036;36.150;1.000;3.000;11.690;364.000;30.000;0.036;11.740;300.000;30.000;3.610;0.000;13.910;240.000;30.000;0.036;69019.500
4.00;272.500;271.500;271.500;269.500;269.000;269.000;73168.472;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.220;18.110;720.000;30.000;3.610;41.910;12.680;945.000;30.000;0.036;39.730;1.000;3.000;11.750;362.000;30.000;0.036;11.720;304.000;30.000;3.610;0.000;13.950;269.000;30.000;0.036;67972.500
5.00;272.500;271.500;271.500;269.500;269.000;269.000;73168.472;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.110;17.590;784.000;30.000;3.610;40.750;12.650;883.000;30.000;0.036;39.920;1.000;3.000;11.720;364.000;30.000;0.036;11.730;303.000;30.000;3.610;0.000;13.940;256.000;30.000;0.036;66332.500
6.00;272.500;271.500;271.500;269.500;269.000;269.000;73168.472;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.130;18.220;718.000;30.000;3.610;41.280;12.710;942.000;30.000;0.036;41.280;1.000;3.000;11.710;364.000;30.000;0.036;11.740;300.000;30.000;3.610;0.000;13.920;265.000;30.000;0.036;65641.500
1.00;272.000;271.000;273.000;268.000;268.000;268.000;72896.000;57.700;2.000;5.000;65.700;181.000;30.000;0.048;15.100;17.070;298.000;30.000;4.760;29.990;12.660;1900.000;30.000;0.048;24.310;1.000;3.000;11.700;177.000;30.000;0.048;11.710;182.000;30.000;4.760;0.000;15.910;171.000;30.000;0.048;72263.333
2.00;272.000;271.000;273.000;268.000;268.000;268.000;72896.000;57.700;2.000;5.000;65.700;180.000;30.000;0.048;15.180;17.620;298.000;30.000;4.760;32.510;12.720;1907.000;30.000;0.048;25.000;1.000;3.000;11.700;172.000;30.000;0.048;11.710;171.000;30.000;4.760;0.000;13.910;178.000;30.000;0.048;70545.250
3.00;272.000;271.000;273.000;268.000;268.000;268.000;72896.000;57.700;2.000;5.000;65.700;180.000;30.000;0.048;15.380;17.720;302.000;30.000;4.760;31.070;12.710;1910.000;30.000;0.048;25.030;1.000;3.000;11.690;179.000;30.000;0.048;11.780;179.000;30.000;4.760;0.000;13.930;179.000;30.000;0.048;69376.667
4.00;272.000;271.000;273.000;268.000;268.000;268.000;72896.000;57.700;2.000;5.000;65.700;179.000;30.000;0.048;15.320;17.590;295.000;30.000;4.760;27.210;12.680;1913.000;30.000;0.048;24.930;1.000;3.000;11.710;173.000;30.000;0.048;11.690;177.000;30.000;4.760;0.000;13.940;181.000;30.000;0.048;67739.208
5.00;272.000;271.000;273.000;268.000;268.000;268.000;72896.000;57.700;2.000;5.000;65.700;180.000;30.000;0.048;15.280;17.630;302.000;30.000;4.760;31.400;12.690;1904.000;30.000;0.048;25.170;1.000;3.000;11.710;184.000;30.000;0.048;12.710;181.000;30.000;4.760;0.000;13.910;184.000;30.000;0.048;66509.333
6.00;272.000;271.000;273.000;268.000;268.000;268.000;72896.000;57.700;2.000;5.000;65.700;178.000;30.000;0.048;15.110;17.570;298.000;30.000;4.760;30.510;12.650;1910.000;30.000;0.048;24.980;1.000;3.000;11.690;178.000;30.000;0.048;11.690;180.000;30.000;4.760;0.000;13.900;175.000;30.000;0.048;64970.833
1.00;276.000;277.000;276.500;269.000;269.000;268.000;74286.333;57.700;2.000;5.000;65.700;360.000;30.000;0.011;14.890;18.900;600.000;30.000;0.011;36.280;12.450;1826.000;30.000;0.011;32.840;1.000;3.000;11.750;160.000;30.000;0.010;11.740;160.000;30.000;0.010;0.000;13.780;160.000;30.000;0.011;72972.667
2.00;276.000;277.000;276.500;269.000;269.000;268.000;74286.333;57.700;2.000;5.000;65.700;360.000;30.000;0.011;14.940;18.380;545.000;30.000;0.011;38.630;12.460;1848.000;30.000;0.011;32.350;1.000;3.000;11.740;160.000;30.000;0.010;11.730;160.000;30.000;0.010;0.000;13.780;160.000;30.000;0.011;71935.500
3.00;276.000;277.000;276.500;269.000;269.000;268.000;74286.333;57.700;2.000;5.000;65.700;357.000;30.000;0.011;15.770;19.580;629.000;30.000;0.011;46.260;12.480;1842.000;30.000;0.011;31.970;1.000;3.000;11.740;160.000;30.000;0.010;11.760;160.000;30.000;0.010;0.000;13.790;160.000;30.000;0.011;70953.667
4.00;276.000;277.000;276.500;269.000;269.000;268.000;74286.333;57.700;2.000;5.000;65.700;360.000;30.000;0.011;15.940;20.570;594.000;30.000;0.011;45.340;12.460;1808.000;30.000;0.011;33.040;1.000;3.000;11.750;160.000;30.000;0.010;11.740;160.000;30.000;0.010;0.000;13.780;160.000;30.000;0.011;69978.500
5.00;276.000;277.000;276.500;269.000;269.000;268.000;74286.333;57.700;2.000;5.000;65.700;360.000;30.000;0.011;15.920;21.000;540.000;30.000;0.011;45.540;12.480;1784.000;30.000;0.011;32.320;1.000;3.000;11.760;160.000;30.000;0.010;11.740;160.000;30.000;0.010;0.000;13.790;160.000;30.000;0.011;68528.250
6.00;276.000;277.000;276.500;269.000;269.000;268.000;74286.333;57.700;2.000;5.000;65.700;357.000;30.000;0.011;15.690;19.530;597.000;30.000;0.011;44.070;12.480;1813.000;30.000;0.011;31.980;1.000;3.000;11.750;160.000;30.000;0.010;11.760;160.000;30.000;0.010;0.000;13.790;160.000;30.000;0.011;67664.917
1.00;272.000;271.000;272.000;271.000;270.000;270.000;73440.556;57.700;2.000;15.000;65.700;1480.000;30.000;0.058;14.530;0.000;0.000;0.000;0.000;17.530;12.870;1480.000;30.000;0.058;19.770;1.000;3.000;10.800;295.000;30.000;0.058;10.820;298.000;30.000;0.058;0.000;14.790;240.000;30.000;0.058;71777.333
2.00;272.000;271.000;272.000;271.000;270.000;270.000;73440.556;57.700;2.000;15.000;65.700;1480.000;30.000;0.058;14.390;0.000;0.000;0.000;0.000;17.390;12.830;1496.000;30.000;0.058;18.830;1.000;3.000;10.810;292.000;30.000;0.058;10.810;294.000;30.000;0.058;0.000;14.800;233.000;30.000;0.058;71417.500
3.00;272.000;271.000;272.000;271.000;270.000;270.000;73440.556;57.700;2.000;15.000;65.700;1480.000;30.000;0.058;14.490;0.000;0.000;0.000;0.000;17.490;12.970;1480.000;30.000;0.058;18.980;1.000;3.000;10.810;295.000;30.000;0.058;10.820;293.000;30.000;0.058;0.000;14.790;235.000;30.000;0.058;70175.000
4.00;272.000;271.000;272.000;271.000;270.000;270.000;73440.556;57.700;2.000;15.000;65.700;1480.000;30.000;0.058;12.980;0.000;0.000;0.000;0.000;15.980;12.980;1473.000;30.000;0.058;19.440;1.000;3.000;10.800;293.000;30.000;0.058;10.810;294.000;30.000;0.058;0.000;14.790;235.000;30.000;0.058;68894.000
5.00;272.000;271.000;272.000;271.000;270.000;270.000;73440.556;57.700;2.000;15.000;65.700;1480.000;30.000;0.058;14.530;0.000;0.000;0.000;0.000;17.530;12.760;1479.000;30.000;0.058;19.090;1.000;3.000;10.800;295.000;30.000;0.058;10.820;295.000;30.000;0.058;0.000;14.790;234.000;30.000;0.058;67768.000
6.00;272.000;271.000;272.000;271.000;270.000;270.000;73440.556;57.700;2.000;15.000;65.700;1480.000;30.000;0.058;14.500;0.000;0.000;0.000;0.000;17.500;12.900;1475.000;30.000;0.058;19.420;1.000;3.000;10.830;294.000;30.000;0.058;10.800;295.000;30.000;0.058;0.000;14.790;235.000;30.000;0.058;66470.000
1.00;271.500;270.000;271.000;269.000;269.000;270.000;72944.444;57.700;2.000;15.000;65.700;296.000;30.000;0.058;14.690;18.900;543.000;30.000;0.058;35.280;12.900;522.000;30.000;0.058;31.850;0.000;3.000;10.830;292.000;30.000;0.058;10.810;295.000;30.000;0.058;0.000;14.830;236.000;30.000;0.058;71461.667
2.00;271.500;270.000;271.000;269.000;269.000;270.000;72944.444;57.700;2.000;15.000;65.700;296.000;30.000;0.058;14.500;18.400;545.000;30.000;0.058;34.350;12.980;517.000;30.000;0.058;31.490;0.000;3.000;10.820;291.000;30.000;0.058;10.820;296.000;30.000;0.058;0.000;14.780;234.000;30.000;0.058;70548.375
3.00;271.500;270.000;271.000;269.000;269.000;270.000;72944.444;57.700;2.000;15.000;65.700;296.000;30.000;0.058;14.480;18.300;630.000;30.000;0.058;38.610;12.960;438.000;30.000;0.058;32.760;0.000;3.000;10.820;295.000;30.000;0.058;10.890;293.000;30.000;0.058;0.000;14.800;236.000;30.000;0.058;69510.083
4.00;271.500;270.000;271.000;269.000;269.000;270.000;72944.444;57.700;2.000;15.000;65.700;296.000;30.000;0.058;14.540;18.700;546.000;30.000;0.058;35.390;12.930;518.000;30.000;0.058;31.510;0.000;3.000;10.820;295.000;30.000;0.058;10.900;295.000;30.000;0.058;0.000;14.860;236.000;30.000;0.058;68244.000
5.00;271.500;270.000;271.000;269.000;269.000;270.000;72944.444;57.700;2.000;15.000;65.700;296.000;30.000;0.058;14.820;18.700;557.000;30.000;0.058;34.470;12.760;505.000;30.000;0.058;31.480;0.000;3.000;10.810;290.000;30.000;0.058;10.810;294.000;30.000;0.058;0.000;14.860;235.000;30.000;0.058;66300.000
6.00;271.500;270.000;271.000;269.000;269.000;270.000;72944.444;57.700;2.000;15.000;65.700;296.000;30.000;0.058;14.660;18.900;554.000;30.000;0.058;34.150;12.970;512.000;30.000;0.058;31.660;0.000;3.000;10.810;294.000;30.000;0.058;10.870;293.000;30.000;0.058;0.000;14.780;234.000;30.000;0.058;64467.833
1.00;275.000;276.000;276.000;269.500;269.000;270.000;74292.167;57.700;2.000;5.000;64.000;889.000;0.000;0.000;15.110;0.000;0.000;0.000;0.000;18.110;12.840;859.000;0.000;0.000;18.420;1.000;3.000;10.870;293.000;0.000;0.000;10.890;294.000;0.000;0.000;0.000;14.830;235.000;0.000;0.000;73840.500
2.00;275.000;276.000;276.000;269.500;269.000;270.000;74292.167;57.700;2.000;5.000;64.000;777.000;0.000;0.000;14.980;0.000;0.000;0.000;0.000;17.980;12.890;776.000;0.000;0.000;17.850;1.000;3.000;10.870;293.000;0.000;0.000;10.880;296.000;0.000;0.000;0.000;14.830;232.000;0.000;0.000;73473.333
3.00;275.000;276.000;276.000;269.500;269.000;270.000;74292.167;57.700;2.000;5.000;64.000;772.000;0.000;0.000;14.930;0.000;0.000;0.000;0.000;17.930;12.880;772.000;0.000;0.000;18.150;1.000;3.000;10.880;293.000;0.000;0.000;10.870;293.000;0.000;0.000;0.000;14.830;232.000;0.000;0.000;73384.167
4.00;275.000;276.000;276.000;269.500;269.000;270.000;74292.167;57.700;2.000;5.000;64.000;771.000;0.000;0.000;14.910;0.000;0.000;0.000;0.000;17.910;12.890;772.000;0.000;0.000;17.890;1.000;3.000;10.880;288.000;0.000;0.000;10.890;294.000;0.000;0.000;0.000;14.810;232.000;0.000;0.000;73158.000
