Test_No ;Numune_1_ Relakse_Sonrasi_ En_1;Numune_1_ Relakse_Sonrasi_ En_2;Numune_1_ Relakse_Sonrasi_ En_3;Numune_1_Relakse_Sonrasi_Boy_1;Numune_1_Relakse_Sonrasi_Boy_2;Numune_1_Relakse_Sonrasi_Boy_3;Giris_Alan_Ortalama;Deterjan_Miktarı(gr);Test_Kapasitesi(kg);Su_Sertligi ;Tambur_Hacmi_(lt);SY1_Sure_(sn);SY1_Devir_(rpm);SY1_ED;SG_Sic_(C);I_Bas_Sic (C);I_Sure_(sn);I_Devir_(rpm);I_MHY_ED;I_Tset_(C);AY_Su_Mik_(lt);AY_Sure_(sn);AY_Devir_(rpm);AY_MHY_ED;AY_Tah_(C);Jet_Pompa;Durulama_Sayisi;1D_Su_Mik_(lt);1D_Sure_(sn);1D_Devir_(rpm);1D_MHY_ED;2D_Su_Mik_(lt);2D_Sure_(sn);2D_Devir_(rpm);2D_MHY_ED;2D_Sikma_(rpm);3D_Su_Mik_(lt);3D_Sure_(sn);3D_Devir_(rpm);3D_MHY_ED;Cikis_Alan_Ortalama
5.00;275.000;276.000;276.000;269.500;269.000;270.000;74292.167;57.700;2.000;5.000;64.000;773.000;0.000;0.000;14.880;0.000;0.000;0.000;0.000;17.880;12.860;773.000;0.000;0.000;18.000;1.000;3.000;10.870;293.000;0.000;0.000;10.880;292.000;0.000;0.000;0.000;14.840;230.000;0.000;0.000;73109.833
6.00;275.000;276.000;276.000;269.500;269.000;270.000;74292.167;57.700;2.000;5.000;64.000;768.000;0.000;0.000;15.390;0.000;0.000;0.000;0.000;18.390;12.880;768.000;0.000;0.000;18.040;1.000;3.000;10.880;294.000;0.000;0.000;10.870;291.000;0.000;0.000;0.000;14.820;232.000;0.000;0.000;72590.083
1.00;272.000;271.000;272.000;268.000;268.000;267.000;72716.111;57.700;2.000;5.000;65.700;299.000;30.000;0.058;14.580;17.700;714.000;30.000;0.058;43.500;12.750;949.000;30.000;0.058;35.110;0.000;3.000;11.720;299.000;30.000;0.058;11.730;298.000;30.000;0.058;0.000;13.810;240.000;30.000;0.058;70875.000
2.00;272.000;271.000;272.000;268.000;268.000;267.000;72716.111;57.700;2.000;5.000;65.700;299.000;30.000;0.058;15.390;18.500;714.000;30.000;0.058;44.300;12.790;954.000;30.000;0.058;35.050;0.000;3.000;11.720;296.000;30.000;0.058;11.730;299.000;30.000;0.058;0.000;13.800;240.000;30.000;0.058;68967.083
3.00;272.000;271.000;272.000;268.000;268.000;267.000;72716.111;57.700;2.000;5.000;65.700;297.000;30.000;0.058;15.350;18.700;653.000;30.000;0.058;43.000;12.790;1014.000;30.000;0.058;33.970;0.000;3.000;11.740;299.000;30.000;0.058;11.720;297.000;30.000;0.058;0.000;13.860;240.000;30.000;0.058;66084.375
4.00;272.000;271.000;272.000;268.000;268.000;267.000;72716.111;57.700;2.000;5.000;65.700;299.000;30.000;0.058;15.340;17.300;711.000;30.000;0.058;44.800;12.800;954.000;30.000;0.058;36.150;0.000;3.000;11.740;296.000;30.000;0.058;11.730;296.000;30.000;0.058;0.000;13.850;240.000;30.000;0.058;63186.167
5.00;272.000;271.000;272.000;268.000;268.000;267.000;72716.111;57.700;2.000;5.000;65.700;297.000;30.000;0.058;15.320;19.000;635.000;30.000;0.058;42.400;12.790;1033.000;30.000;0.058;34.630;0.000;3.000;11.730;298.000;30.000;0.058;11.720;298.000;30.000;0.058;0.000;13.810;240.000;30.000;0.058;61402.583
6.00;272.000;271.000;272.000;268.000;268.000;267.000;72716.111;57.700;2.000;5.000;65.700;297.000;30.000;0.058;15.200;18.000;713.000;30.000;0.058;44.000;12.760;956.000;30.000;0.058;35.620;0.000;3.000;11.730;298.000;30.000;0.058;11.720;298.000;30.000;0.058;0.000;13.780;240.000;30.000;0.058;59346.750
1.00;275.000;273.500;273.000;270.000;270.000;269.500;73889.361;57.700;2.000;5.000;65.700;243.000;30.000;0.058;15.410;19.670;478.000;30.000;0.058;36.920;12.260;533.000;30.000;0.058;30.470;1.000;3.000;11.820;176.000;30.000;0.058;11.820;177.000;30.000;0.058;0.000;13.710;178.000;30.000;0.058;72039.000
2.00;275.000;273.500;273.000;270.000;270.000;269.500;73889.361;57.700;2.000;5.000;65.700;238.000;30.000;0.058;15.490;19.120;477.000;30.000;0.058;38.120;12.290;536.000;30.000;0.058;30.540;1.000;3.000;11.830;176.000;30.000;0.058;11.820;173.000;30.000;0.058;0.000;13.710;175.000;30.000;0.058;70922.333
3.00;275.000;273.500;273.000;270.000;270.000;269.500;73889.361;57.700;2.000;5.000;65.700;237.000;30.000;0.058;15.350;19.120;474.000;30.000;0.058;38.760;12.280;535.000;30.000;0.058;30.580;1.000;3.000;11.830;175.000;30.000;0.058;11.820;178.000;30.000;0.058;0.000;13.710;176.000;30.000;0.058;69333.333
4.00;275.000;273.500;273.000;270.000;270.000;269.500;73889.361;57.700;2.000;5.000;65.700;239.000;30.000;0.058;15.400;19.340;474.000;30.000;0.058;38.250;12.390;534.000;30.000;0.058;30.560;1.000;3.000;11.840;178.000;30.000;0.058;11.840;178.000;30.000;0.058;0.000;13.700;178.000;30.000;0.058;66858.667
5.00;275.000;273.500;273.000;270.000;270.000;269.500;73889.361;57.700;2.000;5.000;65.700;240.000;30.000;0.058;15.450;19.180;476.000;30.000;0.058;38.010;12.300;544.000;30.000;0.058;30.440;1.000;3.000;11.840;176.000;30.000;0.058;11.840;176.000;30.000;0.058;0.000;13.700;176.000;30.000;0.058;64803.167
6.00;275.000;273.500;273.000;270.000;270.000;269.500;73889.361;57.700;2.000;5.000;65.700;237.000;30.000;0.058;15.160;19.320;477.000;30.000;0.058;38.420;12.280;532.000;30.000;0.058;30.240;1.000;3.000;11.840;175.000;30.000;0.058;11.840;176.000;30.000;0.058;0.000;13.700;176.000;30.000;0.058;64172.333
1.00;273.000;273.500;272.500;268.000;268.000;268.000;73164.000;57.700;2.000;3.000;65.700;360.000;35.000;0.024;14.720;19.270;691.000;35.000;0.024;41.250;12.320;1823.000;35.000;0.024;34.220;1.000;3.000;11.320;178.000;35.000;0.024;11.330;172.000;35.000;0.024;0.000;13.260;172.000;35.000;0.024;71588.000
2.00;273.000;273.500;272.500;268.000;268.000;268.000;73164.000;57.700;2.000;3.000;65.700;356.000;35.000;0.024;14.830;20.810;648.000;35.000;0.024;44.450;12.290;1887.000;35.000;0.024;33.810;1.000;3.000;11.330;178.000;35.000;0.024;11.330;174.000;35.000;0.024;0.000;13.270;169.000;35.000;0.024;69991.500
3.00;273.000;273.500;272.500;268.000;268.000;268.000;73164.000;57.700;2.000;3.000;65.700;360.000;35.000;0.024;14.820;20.390;639.000;35.000;0.024;43.400;12.320;1864.000;35.000;0.024;33.420;1.000;3.000;11.330;169.000;35.000;0.024;11.320;176.000;35.000;0.024;0.000;13.300;173.000;35.000;0.024;68276.333
4.00;273.000;273.500;272.500;268.000;268.000;268.000;73164.000;57.700;2.000;3.000;65.700;361.000;35.000;0.024;14.870;20.480;636.000;35.000;0.024;44.340;12.300;1871.000;35.000;0.024;33.790;1.000;3.000;11.300;171.000;35.000;0.024;11.320;168.000;35.000;0.024;0.000;13.270;181.000;35.000;0.024;67820.833
5.00;273.000;273.500;272.500;268.000;268.000;268.000;73164.000;57.700;2.000;3.000;65.700;361.000;35.000;0.024;14.810;20.630;642.000;35.000;0.024;43.230;12.320;1885.000;35.000;0.024;33.660;1.000;3.000;11.300;171.000;35.000;0.024;11.320;166.000;35.000;0.024;0.000;13.280;173.000;35.000;0.024;66201.667
6.00;273.000;273.500;272.500;268.000;268.000;268.000;73164.000;57.700;2.000;3.000;65.700;361.000;35.000;0.024;14.820;20.590;636.000;35.000;0.024;43.690;12.310;1870.000;35.000;0.024;33.580;1.000;3.000;11.340;179.000;35.000;0.024;11.320;168.000;35.000;0.024;0.000;13.260;178.000;35.000;0.024;64458.333
1.00;271.000;270.000;270.500;267.000;268.000;268.000;72403.833;47.000;1.000;5.000;64.000;296.000;30.000;0.058;14.620;18.360;538.000;30.000;0.058;39.250;11.980;527.000;30.000;0.058;32.540;1.000;3.000;9.830;296.000;30.000;0.058;9.820;297.000;30.000;0.058;0.000;13.680;238.000;30.000;0.058;70574.083
2.00;271.000;270.000;270.500;267.000;268.000;268.000;72403.833;47.000;1.000;5.000;64.000;297.000;30.000;0.058;14.620;19.070;527.000;30.000;0.058;39.450;11.960;535.000;30.000;0.058;32.820;1.000;3.000;9.830;296.000;30.000;0.058;9.820;297.000;30.000;0.058;0.000;13.710;237.000;30.000;0.058;69776.917
3.00;271.000;270.000;270.500;267.000;268.000;268.000;72403.833;47.000;1.000;5.000;64.000;300.000;30.000;0.058;14.620;18.570;536.000;30.000;0.058;39.720;11.990;527.000;30.000;0.058;32.680;1.000;3.000;9.830;296.000;30.000;0.058;9.840;296.000;30.000;0.058;0.000;13.690;238.000;30.000;0.058;69070.250
4.00;271.000;270.000;270.500;267.000;268.000;268.000;72403.833;47.000;1.000;5.000;64.000;298.000;30.000;0.058;14.890;19.060;524.000;30.000;0.058;39.490;11.940;536.000;30.000;0.058;33.020;1.000;3.000;9.830;295.000;30.000;0.058;9.820;297.000;30.000;0.058;0.000;13.720;236.000;30.000;0.058;68284.000
5.00;271.000;270.000;270.500;267.000;268.000;268.000;72403.833;47.000;1.000;5.000;64.000;297.000;30.000;0.058;14.410;18.910;530.000;30.000;0.058;39.090;11.960;535.000;30.000;0.058;32.800;1.000;3.000;9.820;297.000;30.000;0.058;9.820;299.000;30.000;0.058;0.000;13.700;238.000;30.000;0.058;66767.500
6.00;271.000;270.000;270.500;267.000;268.000;268.000;72403.833;47.000;1.000;5.000;64.000;297.000;30.000;0.058;14.540;17.570;536.000;30.000;0.058;37.850;11.960;526.000;30.000;0.058;31.870;1.000;3.000;9.820;299.000;30.000;0.058;9.820;294.000;30.000;0.058;0.000;13.720;237.000;30.000;0.058;64716.167
1.00;276.500;275.000;276.500;250.000;250.000;250.500;69046.000;47.000;1.000;5.000;64.000;298.000;30.000;0.058;15.430;20.250;450.000;30.000;0.058;38.630;11.500;611.000;30.000;0.058;32.810;1.000;3.000;9.930;300.000;30.000;0.058;9.930;295.000;30.000;0.058;606.000;13.560;236.000;30.000;0.058;66626.250
2.00;276.500;275.000;276.500;250.000;250.000;250.500;69046.000;47.000;1.000;5.000;64.000;298.000;30.000;0.058;14.890;19.520;454.000;30.000;0.058;38.050;11.490;608.000;30.000;0.058;32.180;1.000;3.000;9.930;296.000;30.000;0.058;9.960;296.000;30.000;0.058;608.000;13.560;236.000;30.000;0.058;64398.125
3.00;276.500;275.000;276.500;250.000;250.000;250.500;69046.000;47.000;1.000;5.000;64.000;297.000;30.000;0.058;15.510;19.670;451.000;30.000;0.058;37.090;11.480;614.000;30.000;0.058;32.300;1.000;3.000;9.930;296.000;30.000;0.058;9.960;297.000;30.000;0.058;605.000;13.540;237.000;30.000;0.058;63070.000
4.00;276.500;275.000;276.500;250.000;250.000;250.500;69046.000;47.000;1.000;5.000;64.000;300.000;30.000;0.058;15.220;19.760;448.000;30.000;0.058;37.860;11.500;612.000;30.000;0.058;32.340;1.000;3.000;9.940;295.000;30.000;0.058;9.930;297.000;30.000;0.058;607.000;13.550;238.000;30.000;0.058;61609.167
5.00;276.500;275.000;276.500;250.000;250.000;250.500;69046.000;47.000;1.000;5.000;64.000;297.000;30.000;0.058;15.860;19.510;449.000;30.000;0.058;37.370;11.500;611.000;30.000;0.058;31.940;1.000;3.000;9.940;297.000;30.000;0.058;9.940;298.000;30.000;0.058;606.000;13.550;236.000;30.000;0.058;60230.500
6.00;276.500;275.000;276.500;250.000;250.000;250.500;69046.000;47.000;1.000;5.000;64.000;298.000;30.000;0.058;15.270;19.350;459.000;30.000;0.058;37.570;11.490;604.000;30.000;0.058;31.990;1.000;3.000;9.940;298.000;30.000;0.058;9.940;295.000;30.000;0.058;608.000;13.560;235.000;30.000;0.058;58623.833
1.00;272.500;270.500;271.500;269.000;270.000;269.000;73124.000;57.700;2.000;5.000;65.700;178.000;30.000;0.036;15.500;17.790;300.000;30.000;0.036;28.790;12.720;1500.000;30.000;0.036;25.790;1.000;3.000;11.640;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.650;300.000;30.000;0.036;71196.667
2.00;272.500;270.500;271.500;269.000;270.000;269.000;73124.000;57.700;2.000;5.000;65.700;178.000;30.000;0.036;15.700;18.200;300.000;30.000;0.036;28.640;12.670;1490.000;30.000;0.036;26.080;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.670;300.000;30.000;0.036;69142.208
3.00;272.500;270.500;271.500;269.000;270.000;269.000;73124.000;57.700;2.000;5.000;65.700;176.900;30.000;0.036;15.790;18.200;300.000;30.000;0.036;28.490;12.710;1485.000;30.000;0.036;26.120;1.000;3.000;11.620;300.000;30.000;0.036;11.620;300.000;30.000;3.610;0.000;13.630;300.000;30.000;0.036;67288.500
4.00;272.500;270.500;271.500;269.000;270.000;269.000;73124.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.620;18.110;300.000;30.000;0.036;28.610;12.720;1492.000;30.000;0.036;25.990;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.660;238.700;30.000;0.036;64925.333
5.00;272.500;270.500;271.500;269.000;270.000;269.000;73124.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.620;18.110;300.000;30.000;0.036;28.610;12.720;1492.000;30.000;0.036;25.990;1.000;3.000;11.630;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.660;235.500;30.000;0.036;63705.667
6.00;272.500;270.500;271.500;269.000;270.000;269.000;73124.000;57.700;2.000;5.000;65.700;178.700;30.000;0.036;15.500;17.630;300.000;30.000;0.036;28.740;12.740;1485.000;30.000;0.036;25.530;1.000;3.000;11.620;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.640;237.100;30.000;0.036;62200.167
1.00;271.000;270.000;273.000;268.000;269.000;268.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.850;18.040;300.000;30.000;0.029;31.020;12.610;1907.000;30.000;0.029;26.150;1.000;3.000;11.590;180.000;30.000;0.018;11.620;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;71820.000
2.00;271.000;270.000;273.000;268.000;269.000;268.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.770;18.070;300.000;30.000;0.029;30.080;12.630;1904.000;30.000;0.029;26.200;1.000;3.000;11.610;180.000;30.000;0.018;11.610;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;70262.500
3.00;271.000;270.000;273.000;268.000;269.000;268.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.950;18.620;300.000;30.000;0.029;31.660;12.590;1905.000;30.000;0.029;26.740;1.000;3.000;11.610;180.000;30.000;0.018;11.600;180.000;30.000;1.810;0.000;13.670;180.000;30.000;0.018;69053.000
4.00;271.000;270.000;273.000;268.000;269.000;268.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.029;16.070;18.230;300.000;30.000;0.029;31.000;12.660;1902.000;30.000;0.029;26.120;1.000;3.000;11.620;180.000;30.000;0.018;11.610;180.000;30.000;1.810;0.000;13.670;180.000;30.000;0.018;67633.833
5.00;271.000;270.000;273.000;268.000;269.000;268.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.530;18.120;300.000;30.000;0.029;31.810;12.630;1918.000;30.000;0.029;26.000;1.000;3.000;11.620;180.000;30.000;0.018;11.600;180.000;30.000;1.810;0.000;13.680;180.000;30.000;0.018;66189.750
6.00;271.000;270.000;273.000;268.000;269.000;268.000;72807.778;57.700;2.000;5.000;65.700;180.000;30.000;0.029;15.630;18.120;300.000;30.000;0.029;30.940;12.670;1906.000;30.000;0.029;26.250;1.000;3.000;11.620;180.000;30.000;0.018;11.620;180.000;30.000;1.810;0.000;13.660;180.000;30.000;0.018;65400.500
1.00;272.000;271.500;272.000;268.500;268.500;268.000;72941.944;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.630;17.330;478.000;0.000;0.000;34.660;12.620;1603.000;30.000;0.012;28.620;1.000;3.000;11.690;300.000;30.000;0.036;11.630;300.000;30.000;3.610;0.000;13.580;240.000;30.000;0.036;71106.417
2.00;272.000;271.500;272.000;268.500;268.500;268.000;72941.944;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.820;17.470;473.000;0.000;0.000;35.890;12.660;1601.000;30.000;0.012;29.370;1.000;3.000;11.540;300.000;30.000;0.036;11.580;300.000;30.000;3.610;0.000;13.690;240.600;30.000;0.036;69948.000
3.00;272.000;271.500;272.000;268.500;268.500;268.000;72941.944;57.700;2.000;5.000;65.700;180.000;30.000;0.036;16.200;17.510;473.000;0.000;0.000;36.300;12.720;1607.000;30.000;0.012;29.130;1.000;3.000;11.590;300.000;30.000;0.036;11.650;300.000;30.000;3.610;0.000;13.650;237.200;30.000;0.036;69466.667
4.00;272.000;271.500;272.000;268.500;268.500;268.000;72941.944;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.270;17.690;473.000;0.000;0.000;35.710;12.790;1600.000;30.000;0.012;29.270;1.000;3.000;11.610;300.000;30.000;0.036;11.610;300.000;30.000;3.610;0.000;13.620;239.500;30.000;0.036;68588.667
5.00;272.000;271.500;272.000;268.500;268.500;268.000;72941.944;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.430;17.520;463.000;0.000;0.000;35.570;12.710;1597.000;30.000;0.012;29.200;1.000;3.000;11.590;300.000;30.000;0.036;11.590;300.000;30.000;3.610;0.000;13.630;320.000;30.000;0.036;68284.000
6.00;272.000;271.500;272.000;268.500;268.500;268.000;72941.944;57.700;2.000;5.000;65.700;180.000;30.000;0.036;15.210;17.020;465.000;0.000;0.000;34.840;12.730;1605.000;30.000;0.012;28.910;1.000;3.000;11.600;300.000;30.000;0.036;11.620;300.000;30.000;3.610;0.000;13.620;237.900;30.000;0.036;66810.000
1.00;273.000;272.000;272.000;269.000;269.000;268.500;73212.278;57.700;2.000;5.000;65.700;296.000;30.000;0.036;15.540;19.550;800.000;30.000;3.610;42.480;14.440;856.000;30.000;0.036;37.780;1.000;3.000;11.540;366.000;30.000;0.036;12.060;300.000;30.000;3.610;617.000;14.580;352.000;30.000;0.036;70796.000
2.00;273.000;272.000;272.000;269.000;269.000;268.500;73212.278;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.640;19.200;806.000;30.000;3.610;42.600;13.930;868.000;30.000;0.036;36.150;1.000;3.000;11.770;365.000;30.000;0.036;12.030;300.000;30.000;3.610;616.000;14.470;316.000;30.000;0.036;67808.333
3.00;273.000;272.000;272.000;269.000;269.000;268.500;73212.278;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.730;19.570;730.000;30.000;3.610;41.510;13.870;931.000;30.000;0.036;35.440;1.000;3.000;11.420;365.000;30.000;0.036;11.980;299.000;30.000;3.610;620.000;14.790;240.000;30.000;0.036;65656.500
4.00;273.000;272.000;272.000;269.000;269.000;268.500;73212.278;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.420;19.420;808.000;30.000;3.610;42.620;14.140;852.000;30.000;0.036;36.970;1.000;3.000;11.560;364.000;30.000;0.036;12.050;299.000;30.000;3.610;617.000;14.590;258.000;30.000;0.036;64619.750
5.00;273.000;272.000;272.000;269.000;269.000;268.500;73212.278;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.650;19.360;810.000;30.000;3.610;42.060;14.220;859.000;30.000;0.036;36.910;1.000;3.000;11.420;365.000;30.000;0.036;12.070;300.000;30.000;3.610;616.000;14.580;256.000;30.000;0.036;61168.333
6.00;273.000;272.000;272.000;269.000;269.000;268.500;73212.278;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.400;20.280;742.000;30.000;3.610;41.770;14.230;920.000;30.000;0.036;36.310;1.000;3.000;11.420;365.000;30.000;0.036;11.960;300.000;30.000;3.610;616.000;14.420;300.000;30.000;0.036;59892.000
1.00;275.000;275.000;274.000;270.000;269.000;269.000;73976.889;57.700;2.000;5.000;65.700;300.000;30.000;0.036;14.980;17.280;783.000;30.000;3.610;41.900;12.740;877.000;30.000;0.036;36.570;1.000;3.000;11.730;363.000;30.000;0.036;11.770;300.000;30.000;3.610;0.000;13.920;242.000;30.000;0.036;71879.625
2.00;275.000;275.000;274.000;270.000;269.000;269.000;73976.889;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.090;17.550;736.000;30.000;3.610;41.710;12.680;926.000;30.000;0.036;36.110;1.000;3.000;11.740;365.000;30.000;0.036;11.740;300.000;30.000;3.610;0.000;13.910;225.000;30.000;0.036;70787.500
3.00;275.000;275.000;274.000;270.000;269.000;269.000;73976.889;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.240;18.100;716.000;30.000;3.610;41.910;12.700;947.000;30.000;0.036;36.150;1.000;3.000;11.690;364.000;30.000;0.036;11.740;300.000;30.000;3.610;0.000;13.910;240.000;30.000;0.036;69907.667
4.00;275.000;275.000;274.000;270.000;269.000;269.000;73976.889;57.700;2.000;5.000;65.700;300.000;30.000;0.036;15.220;18.110;720.000;30.000;3.610;41.910;12.680;945.000;30.000;0.036;39.730;1.000;3.000;11.750;362.000;30.000;0.036;11.720;304.000;30.000;3.610;0.000;13.950;269.000;30.000;0.036;67545.000
